cx,cy,w,h,label,Name
133.046630859375,101.85343170166016,138.034912109375,146.1439971923828,201,PolyU_202_S_10.jpg
127.81763458251953,98.6866455078125,141.44290161132812,142.27281188964844,51,PolyU_052_F_09.jpg
125.3635482788086,99.1135025024414,144.6484832763672,144.33767700195312,153,PolyU_154_F_01.jpg
124.3808364868164,99.23855590820312,148.3249053955078,141.45774841308594,347,PolyU_348_F_04.jpg
129.8836212158203,100.00968933105469,137.8607177734375,142.7985076904297,371,PolyU_372_F_07.jpg
134.42356872558594,103.72110748291016,141.88560485839844,147.80418395996094,65,PolyU_066_F_10.jpg
124.08621215820312,100.12657165527344,145.3920135498047,140.524658203125,309,PolyU_310_F_09.jpg
139.96908569335938,108.3155746459961,144.3033447265625,151.58888244628906,221,PolyU_222_S_06.jpg
134.5474853515625,103.24848937988281,145.4241943359375,149.16403198242188,165,PolyU_166_S_10.jpg
126.04248046875,99.85416412353516,141.95327758789062,142.20191955566406,115,PolyU_116_F_05.jpg
125.35569763183594,99.72919464111328,141.9793701171875,143.54759216308594,263,PolyU_264_F_10.jpg
133.8356170654297,102.09571838378906,142.56558227539062,147.51487731933594,177,PolyU_178_F_04.jpg
132.75723266601562,100.53208923339844,136.5865020751953,140.90231323242188,67,PolyU_068_S_06.jpg
126.10201263427734,101.8398208618164,146.43670654296875,144.83152770996094,209,PolyU_210_F_01.jpg
131.65377807617188,102.24859619140625,141.05587768554688,144.96875,325,PolyU_326_S_05.jpg
130.5042724609375,104.62688446044922,143.6956024169922,145.1702423095703,323,PolyU_324_S_03.jpg
125.09371948242188,96.79444885253906,144.38400268554688,135.5137939453125,135,PolyU_136_F_05.jpg
130.65455627441406,103.2884292602539,143.35205078125,146.23614501953125,187,PolyU_188_S_09.jpg
124.96978759765625,100.6581039428711,145.03262329101562,143.37977600097656,117,PolyU_118_F_10.jpg
134.49916076660156,102.56978607177734,145.40084838867188,144.30372619628906,41,PolyU_042_F_07.jpg
134.60292053222656,101.96774291992188,142.42532348632812,146.1881561279297,325,PolyU_326_S_07.jpg
139.92047119140625,106.94071197509766,135.4866485595703,145.78631591796875,237,PolyU_238_S_08.jpg
132.75347900390625,105.34078979492188,144.60032653808594,148.8094024658203,299,PolyU_300_S_08.jpg
126.53065490722656,107.41858673095703,142.55699157714844,143.92930603027344,7,PolyU_008_S_05.jpg
127.24016571044922,98.70650482177734,143.82962036132812,144.0290985107422,51,PolyU_052_F_04.jpg
110.77200317382812,88.04788970947266,103.65579223632812,108.03572845458984,223,PolyU_224_S_04.jpg
132.03749084472656,97.45484161376953,143.7135009765625,140.3500213623047,269,PolyU_270_S_03.jpg
137.6473388671875,105.19110870361328,137.65921020507812,147.1686553955078,265,PolyU_266_S_03.jpg
123.21554565429688,109.58661651611328,146.3858184814453,147.33578491210938,237,PolyU_238_F_04.jpg
121.02587127685547,101.06977081298828,145.0211639404297,140.80908203125,23,PolyU_024_F_08.jpg
113.50370025634766,106.17813110351562,148.34690856933594,146.14697265625,147,PolyU_148_S_10.jpg
126.20849609375,99.66700744628906,139.2195587158203,141.61318969726562,297,PolyU_298_F_05.jpg
124.23783111572266,110.24176025390625,149.71568298339844,151.4155731201172,35,PolyU_036_S_03.jpg
122.79730224609375,111.47171020507812,150.8021240234375,150.89219665527344,225,PolyU_226_S_07.jpg
128.07167053222656,101.01383972167969,142.368896484375,145.99142456054688,105,PolyU_106_F_05.jpg
127.49191284179688,99.11160278320312,132.119140625,137.1890411376953,363,PolyU_364_F_05.jpg
118.06022644042969,105.67090606689453,141.3596954345703,143.95864868164062,87,PolyU_088_S_08.jpg
132.561767578125,102.689697265625,143.66319274902344,145.69020080566406,347,PolyU_348_S_01.jpg
130.1888427734375,103.87033081054688,145.99900817871094,144.94834899902344,175,PolyU_176_F_06.jpg
134.69615173339844,103.0682373046875,143.9920654296875,146.4343719482422,91,PolyU_092_F_10.jpg
